記錄時間,日期時間,玩家ID,位置X,位置Y,位置Z,當前場館
16.36,2025-04-20 19:10:32,Player_1,-3.00,3.33,0.00,Optics
17.36,2025-04-20 19:10:33,Player_1,-3.00,2.18,0.00,Optics
18.36,2025-04-20 19:10:34,Player_1,-3.00,2.18,0.00,Optics
19.37,2025-04-20 19:10:35,Player_1,-3.00,2.18,0.00,Optics
20.37,2025-04-20 19:10:36,Player_1,-3.00,2.18,0.00,Optics
21.37,2025-04-20 19:10:37,Player_1,-3.00,2.18,0.00,Optics
22.37,2025-04-20 19:10:38,Player_1,-3.00,2.18,0.00,Optics
23.37,2025-04-20 19:10:39,Player_1,-3.00,2.18,0.00,Optics
24.37,2025-04-20 19:10:40,Player_1,-3.00,2.18,0.00,Optics
25.37,2025-04-20 19:10:41,Player_1,-3.00,2.18,0.00,Optics
26.37,2025-04-20 19:10:42,Player_1,-3.00,2.18,0.00,Optics
27.37,2025-04-20 19:10:43,Player_1,-3.00,2.18,0.00,Optics
28.37,2025-04-20 19:10:44,Player_1,-3.00,2.18,0.00,Optics
29.37,2025-04-20 19:10:45,Player_1,-3.00,2.18,0.00,Optics
30.37,2025-04-20 19:10:46,Player_1,-3.00,2.18,0.00,Optics
31.38,2025-04-20 19:10:47,Player_1,-3.00,2.18,0.00,Optics
32.38,2025-04-20 19:10:48,Player_1,-3.00,2.18,0.00,Optics
33.38,2025-04-20 19:10:49,Player_1,-3.00,2.18,0.00,Optics
34.38,2025-04-20 19:10:50,Player_1,-3.00,2.18,0.00,Optics
35.38,2025-04-20 19:10:51,Player_1,-3.00,2.18,0.00,Optics
36.38,2025-04-20 19:10:52,Player_1,-3.00,2.18,0.00,Optics
37.38,2025-04-20 19:10:53,Player_1,-3.00,2.18,0.00,Optics
38.38,2025-04-20 19:10:54,Player_1,-3.00,2.18,0.00,Optics
39.38,2025-04-20 19:10:55,Player_1,-3.00,2.18,0.00,Optics
40.38,2025-04-20 19:10:56,Player_1,-3.00,2.18,0.00,Optics
41.38,2025-04-20 19:10:57,Player_1,-3.00,2.18,0.00,Optics
42.38,2025-04-20 19:10:58,Player_1,-3.00,2.18,0.00,Optics
43.38,2025-04-20 19:10:59,Player_1,-3.00,2.18,0.00,Optics
44.38,2025-04-20 19:11:00,Player_1,-3.00,2.18,0.00,Optics
45.38,2025-04-20 19:11:01,Player_1,-3.00,2.18,0.00,Optics
46.38,2025-04-20 19:11:02,Player_1,-3.00,2.18,0.00,Optics
47.38,2025-04-20 19:11:03,Player_1,-3.00,2.18,0.00,Optics
48.39,2025-04-20 19:11:04,Player_1,-3.00,2.18,0.00,Optics
49.39,2025-04-20 19:11:05,Player_1,-3.00,2.18,0.00,Optics
50.39,2025-04-20 19:11:06,Player_1,-3.00,2.18,0.00,Optics
51.41,2025-04-20 19:11:07,Player_1,-3.00,2.18,0.00,Optics
52.41,2025-04-20 19:11:08,Player_1,-3.00,2.18,0.00,Optics
53.41,2025-04-20 19:11:09,Player_1,-3.00,2.18,0.00,Optics
54.41,2025-04-20 19:11:10,Player_1,-3.00,2.18,0.00,Optics
55.41,2025-04-20 19:11:11,Player_1,-3.00,2.18,0.00,Optics
56.41,2025-04-20 19:11:12,Player_1,-3.00,2.18,0.00,Optics
57.41,2025-04-20 19:11:13,Player_1,-3.00,2.18,0.00,Optics
58.43,2025-04-20 19:11:14,Player_1,-3.00,2.18,0.00,Optics
59.43,2025-04-20 19:11:15,Player_1,-3.00,2.18,0.00,Optics
60.43,2025-04-20 19:11:16,Player_1,-3.00,2.18,0.00,Optics
61.43,2025-04-20 19:11:17,Player_1,-3.00,2.18,0.00,Optics
62.43,2025-04-20 19:11:18,Player_1,-3.00,2.18,0.00,Optics
63.43,2025-04-20 19:11:19,Player_1,-3.00,2.18,0.00,Optics
64.43,2025-04-20 19:11:20,Player_1,-3.00,2.18,0.00,Optics
65.43,2025-04-20 19:11:21,Player_1,-3.00,2.18,0.00,Optics
66.43,2025-04-20 19:11:22,Player_1,-3.00,2.18,0.00,Optics
67.43,2025-04-20 19:11:23,Player_1,-3.00,2.18,0.00,Optics
68.43,2025-04-20 19:11:24,Player_1,-3.00,2.18,0.00,Optics
69.43,2025-04-20 19:11:25,Player_1,-3.00,2.18,0.00,Optics
70.43,2025-04-20 19:11:26,Player_1,-3.00,2.18,0.00,Optics
71.43,2025-04-20 19:11:27,Player_1,-3.00,2.18,0.00,Optics
72.43,2025-04-20 19:11:28,Player_1,-3.00,2.18,0.00,Optics
73.43,2025-04-20 19:11:29,Player_1,-3.00,2.18,0.00,Optics
74.43,2025-04-20 19:11:30,Player_1,-3.00,2.18,0.00,Optics
75.43,2025-04-20 19:11:31,Player_1,-3.00,2.18,0.00,Optics
76.43,2025-04-20 19:11:32,Player_1,-3.00,2.18,0.00,Optics
77.44,2025-04-20 19:11:33,Player_1,-3.00,2.18,0.00,Optics
78.44,2025-04-20 19:11:34,Player_1,-3.00,2.18,0.00,Optics
79.44,2025-04-20 19:11:35,Player_1,-3.00,2.18,0.00,Optics
80.46,2025-04-20 19:11:36,Player_1,-3.00,2.18,0.00,Optics
81.46,2025-04-20 19:11:37,Player_1,-3.00,2.18,0.00,Optics
82.46,2025-04-20 19:11:38,Player_1,-3.00,2.18,0.00,Optics
83.48,2025-04-20 19:11:39,Player_1,-3.00,2.18,0.00,Optics
84.48,2025-04-20 19:11:40,Player_1,-3.00,2.18,0.00,Optics
85.48,2025-04-20 19:11:41,Player_1,-3.00,2.18,0.00,Optics
86.48,2025-04-20 19:11:42,Player_1,-3.00,2.18,0.00,Optics
87.48,2025-04-20 19:11:43,Player_1,-3.00,2.18,0.00,Optics
88.48,2025-04-20 19:11:44,Player_1,-3.00,2.18,0.00,Optics
89.48,2025-04-20 19:11:45,Player_1,-3.00,2.18,0.00,Optics
90.49,2025-04-20 19:11:46,Player_1,-3.00,2.18,0.00,Optics
91.49,2025-04-20 19:11:47,Player_1,-3.00,2.18,0.00,Optics
92.49,2025-04-20 19:11:48,Player_1,-3.00,2.18,0.00,Optics
93.49,2025-04-20 19:11:49,Player_1,-3.00,2.18,0.00,Optics
94.49,2025-04-20 19:11:50,Player_1,-3.00,2.18,0.00,Optics
95.49,2025-04-20 19:11:51,Player_1,-3.00,2.18,0.00,Optics
96.49,2025-04-20 19:11:52,Player_1,-3.00,2.18,0.00,Optics
97.51,2025-04-20 19:11:53,Player_1,-3.00,2.18,0.00,Optics
98.53,2025-04-20 19:11:54,Player_1,-3.00,2.18,0.00,Optics
99.53,2025-04-20 19:11:55,Player_1,-3.00,2.18,0.00,Optics
100.53,2025-04-20 19:11:56,Player_1,-3.00,2.18,0.00,Optics
101.53,2025-04-20 19:11:57,Player_1,-3.00,2.18,0.00,Optics
102.53,2025-04-20 19:11:58,Player_1,-3.00,2.18,0.00,Optics
103.53,2025-04-20 19:11:59,Player_1,-3.00,2.18,0.00,Optics
104.54,2025-04-20 19:12:00,Player_1,-3.00,2.18,0.00,Optics
105.54,2025-04-20 19:12:01,Player_1,-3.00,2.18,0.00,Optics
106.54,2025-04-20 19:12:02,Player_1,-3.00,2.18,0.00,Optics
107.56,2025-04-20 19:12:03,Player_1,-3.00,2.18,0.00,Optics
108.56,2025-04-20 19:12:04,Player_1,-3.00,2.18,0.00,Optics
109.58,2025-04-20 19:12:05,Player_1,-3.00,2.18,0.00,Optics
110.58,2025-04-20 19:12:06,Player_1,-3.00,2.18,0.00,Optics
111.58,2025-04-20 19:12:07,Player_1,-3.00,2.18,0.00,Optics
112.58,2025-04-20 19:12:08,Player_1,-3.00,2.18,0.00,Optics
113.58,2025-04-20 19:12:09,Player_1,-3.00,2.18,0.00,Optics
114.60,2025-04-20 19:12:10,Player_1,-3.00,2.18,0.00,Optics
115.61,2025-04-20 19:12:11,Player_1,-3.00,2.18,0.00,Optics
116.61,2025-04-20 19:12:12,Player_1,-3.00,2.18,0.00,Optics
117.61,2025-04-20 19:12:13,Player_1,-3.00,2.18,0.00,Optics
118.61,2025-04-20 19:12:14,Player_1,-3.00,2.18,0.00,Optics
119.63,2025-04-20 19:12:15,Player_1,-3.00,2.18,0.00,Optics
120.63,2025-04-20 19:12:16,Player_1,-3.00,2.18,0.00,Optics
121.65,2025-04-20 19:12:17,Player_1,-3.00,2.18,0.00,Optics
122.65,2025-04-20 19:12:18,Player_1,-3.00,2.18,0.00,Optics
123.65,2025-04-20 19:12:19,Player_1,-3.00,2.18,0.00,Optics
124.66,2025-04-20 19:12:20,Player_1,-3.00,2.18,0.00,Optics
125.68,2025-04-20 19:12:21,Player_1,-3.00,2.18,0.00,Optics
126.68,2025-04-20 19:12:22,Player_1,-3.00,2.18,0.00,Optics
127.68,2025-04-20 19:12:23,Player_1,-3.00,2.18,0.00,Optics
128.68,2025-04-20 19:12:24,Player_1,-3.00,2.18,0.00,Optics
129.70,2025-04-20 19:12:25,Player_1,-3.00,2.18,0.00,Optics
130.70,2025-04-20 19:12:26,Player_1,-3.00,2.18,0.00,Optics
131.70,2025-04-20 19:12:27,Player_1,-3.00,2.18,0.00,Optics
132.70,2025-04-20 19:12:28,Player_1,-3.00,2.18,0.00,Optics
133.70,2025-04-20 19:12:29,Player_1,-3.00,2.18,0.00,Optics
134.70,2025-04-20 19:12:30,Player_1,-3.00,2.18,0.00,Optics
135.70,2025-04-20 19:12:31,Player_1,-3.00,2.18,0.00,Optics
136.71,2025-04-20 19:12:32,Player_1,-3.00,2.18,0.00,Optics
137.73,2025-04-20 19:12:33,Player_1,-3.00,2.18,0.00,Optics
138.73,2025-04-20 19:12:34,Player_1,-3.00,2.18,0.00,Optics
139.73,2025-04-20 19:12:35,Player_1,-3.00,2.18,0.00,Optics
140.73,2025-04-20 19:12:36,Player_1,-3.00,2.18,0.00,Optics
141.73,2025-04-20 19:12:37,Player_1,-3.00,2.18,0.00,Optics
142.73,2025-04-20 19:12:38,Player_1,-3.00,2.18,0.00,Optics
143.73,2025-04-20 19:12:39,Player_1,-3.00,2.18,0.00,Optics
144.73,2025-04-20 19:12:40,Player_1,-3.00,2.18,0.00,Optics
145.73,2025-04-20 19:12:41,Player_1,-3.00,2.18,0.00,Optics
146.73,2025-04-20 19:12:42,Player_1,-3.00,2.18,0.00,Optics
147.73,2025-04-20 19:12:43,Player_1,-3.00,2.18,0.00,Optics
148.73,2025-04-20 19:12:44,Player_1,-3.00,2.18,0.00,Optics
149.73,2025-04-20 19:12:45,Player_1,-3.00,2.18,0.00,Optics
150.73,2025-04-20 19:12:46,Player_1,-3.00,2.18,0.00,Optics
